COD_IBGE;NOME;UF;LATITUDE;LONGITUDE;REGIAO_TRADICIONAL
1100015;Alta Floresta D'Oeste;RO;-119283;-619953;Amazônia Rondoniense
1100023;Ariquemes;RO;-990571;-630325;Vale do Jamari
1100031;Cabixi;RO;-134945;-60552;Amazônia Rondoniense
1100049;Cacoal;RO;-114343;-614562;Amazônia Rondoniense
1100056;Cerejeiras;RO;-13187;-608168;Amazônia Rondoniense
1100064;Colorado do Oeste;RO;-131174;-605454;Amazônia Rondoniense
1100072;Corumbiara;RO;-129551;-608947;Amazônia Rondoniense
1100080;Costa Marques;RO;-124367;-64228;Amazônia Rondoniense
1100098;Espigão D'Oeste;RO;-115266;-610252;Amazônia Rondoniense
1100106;Guajará-Mirim;RO;-107889;-653296;Madeira-Mamoré
1100114;Jaru;RO;-104318;-624788;Amazônia Rondoniense
1100122;Ji-Paraná;RO;-108777;-619322;Região Central
1100130;Machadinho D'Oeste;RO;-944363;-619818;Amazônia Rondoniense
1100148;Nova Brasilândia D'Oeste;RO;-117247;-623127;Amazônia Rondoniense
1100155;Ouro Preto do Oeste;RO;-107167;-622565;Amazônia Rondoniense
1100189;Pimenta Bueno;RO;-11672;-61198;Amazônia Rondoniense
1100205;Porto Velho;RO;-876077;-638999;Madeira-Mamoré
1100254;Presidente Médici;RO;-11169;-618986;Amazônia Rondoniense
1100262;Rio Crespo;RO;-969965;-629011;Amazônia Rondoniense
1100288;Rolim de Moura;RO;-117271;-617714;Amazônia Rondoniense
1100296;Santa Luzia D'Oeste;RO;-119074;-617777;Amazônia Rondoniense
1100304;Vilhena;RO;-127502;-601488;Cone Sul
1100320;São Miguel do Guaporé;RO;-116953;-627192;Amazônia Rondoniense
1100338;Nova Mamoré;RO;-104077;-653346;Amazônia Rondoniense
1100346;Alvorada D'Oeste;RO;-113463;-622847;Amazônia Rondoniense
1100379;Alto Alegre dos Parecis;RO;-12132;-61835;Amazônia Rondoniense
1100403;Alto Paraíso;RO;-971429;-633188;Amazônia Rondoniense
1100452;Buritis;RO;-101943;-638324;Amazônia Rondoniense
1100502;Novo Horizonte do Oeste;RO;-116961;-619951;Amazônia Rondoniense
1100601;Cacaulândia;RO;-10349;-629043;Amazônia Rondoniense
1100700;Campo Novo de Rondônia;RO;-105712;-636266;Amazônia Rondoniense
1100809;Candeias do Jamari;RO;-87907;-637005;Amazônia Rondoniense
1100908;Castanheiras;RO;-114253;-619482;Amazônia Rondoniense
1100924;Chupinguaia;RO;-125611;-608877;Amazônia Rondoniense
1100940;Cujubim;RO;-936065;-625846;Amazônia Rondoniense
1101005;Governador Jorge Teixeira;RO;-1061;-627371;Amazônia Rondoniense
1101104;Itapuã do Oeste;RO;-919687;-631809;Amazônia Rondoniense
1101203;Ministro Andreazza;RO;-11196;-615174;Amazônia Rondoniense
